head,relation,tail,template_id,template
"peschardt, michael","languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed","peschardt, michael",14,[X] is [REL] by [Y].
pablo bueno,"languages spoken, written or signed",Modern Spanish,15,[X] [REL] [Y].
Modern Spanish,"languages spoken, written or signed",pablo bueno,14,[X] is [REL] by [Y].
aurelia mofid,"languages spoken, written or signed",moldovan,15,[X] [REL] [Y].
moldovan,"languages spoken, written or signed",aurelia mofid,14,[X] is [REL] by [Y].
Wilhelm berger,"languages spoken, written or signed",iso 639:deu,15,[X] [REL] [Y].
iso 639:deu,"languages spoken, written or signed",Wilhelm berger,14,[X] is [REL] by [Y].
Frederick Woodman,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",Frederick Woodman,14,[X] is [REL] by [Y].
Coleman Lindsey,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",Coleman Lindsey,14,[X] is [REL] by [Y].
charles edgar loseby,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",charles edgar loseby,14,[X] is [REL] by [Y].
Kurt Niedermayer,"languages spoken, written or signed",iso 639:deu,15,[X] [REL] [Y].
iso 639:deu,"languages spoken, written or signed",Kurt Niedermayer,14,[X] is [REL] by [Y].
david m. malone,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",david m. malone,14,[X] is [REL] by [Y].
Stanley Wells,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",Stanley Wells,14,[X] is [REL] by [Y].
"bill, charles","languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed","bill, charles",14,[X] is [REL] by [Y].
john elderfield,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",john elderfield,14,[X] is [REL] by [Y].
william augustus sackett,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",william augustus sackett,14,[X] is [REL] by [Y].
hamp hawes,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
Number of words in English,"languages spoken, written or signed",hamp hawes,14,[X] is [REL] by [Y].
Ryan Ottley,"languages spoken, written or signed",Number of words in English,15,[X] [REL] [Y].
